id,Policy Name,Country,Year,Status,Jurisdiction,Topics,Policy Types,Sectors,Technologies,Description,Total Budget,Total Budget in USD,Governing Body,Target Project,Target Capacity,Beneficiary,Target Year,Period,Emission Goal
291,Clean Energy Vehicule Program in British Columbia,Canada,2011,In force,State/Provincial,Renewable Energy,,"Transport, Power, Heat and Utilities, Power generation, Electricity and heat generation",,"The Clean Energy Vehicle (CEV) Program is intended to encourage and accelerate the adoption of CEVs in B.C. for their environmental and economic benefits. The program does this by:

Helping make clean transportation solutions more affordable

Increasing awareness of CEVs

Investing in infrastructure

Supporting research, jobs training & economic development in the CEV sector

Funding for the CEV Program is established through the Innovative Clean Energy (ICE) Fund, designed to support the B.C. Government’s energy, economic, environmental and greenhouse gas reduction priorities and advance the local clean energy sector.

British Columbia introduced the CEV Program in 2011 and has since committed more than $31 million to the following program areas:

Vehicle point-of-sale incentives for battery electric & hydrogen fuel cell vehicles

Investments in charging & hydrogen fuelling infrastructure

Additional support for fleets to adopt CEVs

Investments in research, training, outreach & economic development

From 2011 to February 2016, the CEV Program has delivered:

Over 2,400 new CEVs on the road

Over 1,000 residential & public charging stations, including 30 DC fast charging stations

One new hydrogen fuelling station

10 research & academic curriculum projects

Funding for electrician training

Delivery of Emotive: The Electric Vehicle Experience outreach & awareness program



Renewable EnergyRemove Filter





TransportRemove Filter





Power, Heat and UtilitiesRemove Filter





Power generationRemove Filter





Electricity and heat generationRemove Filter

",$31 million,31000000.0,British Columbia,"Vehicle point-of-sale incentives for battery electric & hydrogen fuel cell vehicles, Investments in charging & hydrogen fuelling infrastructure, Additional support for fleets to adopt CEVs, Investments in research, training, outreach & economic development","Outreach & awareness program: Delivery of Emotive: The Electric Vehicle Experience program
",CEV sector,,2011 to present,
292,Microgeneration Law  (Application Decree Law 118-A/2010),Portugal,2010,In force,National,Renewable Energy,"Payments, finance and taxation, Performance-based payments, Payments and transfers, Feed-in tariffs/premiums","Power, Heat and Utilities, Power generation, Electricity and heat generation",,"The Microgeneration Law regulates the microproduction of electricity from renewable energy sources. It provides for a simplified licensing regime for local grid connected, low-voltage, small/residential renewable energy producers. Any entity that has a contract for purchasing electricity can be a producer of electricity from renewable energy sources, covering solar, wind, hydro, cogeneration, biomass, and fuel cells using hydrogen from renewable energy microproduction. Licensing is conducted through the internet, via the System of Registration of Microproducers (SRM), an electronic platform through with producers register their installations. Micro producers cannot inject more than 50 % of the power mentioned in the purchasing contract, limited to 3.68 kW, except in the case of installations for condominiums. There are two types of feed-in tariffs: General Regime - The tariff is equal to the cost of electricity sold under the purchasing contract Bonified Tariff - a special reference tariff is defined during the first 5 years following the installation. The reference tariff for the first 10 MW installed is defined as EUR 650/MWh and decreases 5 % for each additional 10 MW registered in the SRM. The reference tariff applies differently depending on the renewable energy technology used. It is 100% for solar (i.e., the full EUR 650/MWh), 70% for wind, 30% for hydro, cogeneration and biomass. For fuel cells, the tariff is the one that applies to the renewable energy source used for hydrogen production. As of October 2010, the Decree Law 118-A/2010 modifies some aspects of Microgeneration Law DL 363/2007 . This amendment intends to support the generation of electricity from renewable sources in Low voltage systems by simplifying the application procedure. The new regulation increases the annual ceiling for installation to 25 MW per year and streamlines the access to the Micro Production regime for public, social, education, defense and local institutions. Moreover, the Bonified Regime is adjusted to the cost of equipments used in the Micro production and can only be accesssed under certain conditions, namely the compliance with energy efficiency measures and the use of solar thermal collectors or biomass boilers. An incentive is also provided for State Laboratories in order to increase R&D in this field.",,,,,,,,,
293,American Recovery and Reinvestment Act of 2009: Tax-Based Provisions,United States,2009,In force,National,"Energy Efficiency, Renewable Energy","Payments, finance and taxation, Funds to sub-national governments, Taxes, fees and charges, Payments and transfers, Tax credits and exemptions, Grants","Transport, Road transport, Power, Heat and Utilities, Power generation, Economy-wide (Multi-sector), Heating and Cooling, Passenger transport (Road), Electricity and heat generation","Road vehicles, Transport technologies, Wind, Solar PV, Solar thermal heaters, Geothermal electricity, Hydropower (excl. pumped hydro), Marine energy, Geothermal, Solar","The American Recovery and Reinvestment Act (ARRA), signed into law on 17 February 2009, is a supplemental spending bill that contains over USD 80 billion to support clean energy research, development, and deployment. Of this amount, an estimated USD 30 billion is available in the form of tax-based incentives. These tax provisions include: Alternative Refueling Tax Credits: The alternative refueling property credit provides a tax credit to businesses (e.g., gas stations) that install alternative fuel pumps, such E85 fuel, electricity, hydrogen, and natural gas. For 2009 and 2010, the bill increases the 30% credit for businesses (capped at USD 30,000) to 50% (capped at USD 50,000). The cap for hydrogen refueling pumps is be increased to USD 200,000 (credit remains at 30%). In addition, the bill increases the 30% alternative refueling property credit for individuals (capped at USD 1,000) to 50% (capped at USD 2,000). An additional USD 2.4 billion provided in Energy Conservation Bonds for State, local, and tribal programmes to finance clean energy projects. The tax credit for residential energy efficiency upgrades is increased to 30% for 2009 and 2010 (from 10%) with a USD 1500 cap. The plug-in hybrid electric vehicle consumer tax credit is also increased, reaching up to USD 7 500.",,,U.S. Department of the Treasury,Payments for Specified Energy Property in Lieu of Tax Credits,"Clean energy projects: Estimated to produce enough clean energy to power over 8.5 million homes
",Clean energy projects,,,
294,Cleaner vehicle purchase incentives,Italy,2009,In force,National,Energy Efficiency,"Payments, finance and taxation, Taxes, fees and charges, Payments and transfers, Tax credits and exemptions, Grants","Transport, Road transport, Passenger transport (Road), Freight transport (Road)","Road vehicles, Commercial vehicles, Medium duty vehicles, small trucks and minibuses, Transport technologies","In February 2009, as part of measures aimed at supporting industrial sectors in crisis, Italys Council of Ministers launched a temporary incentive scheme for consumers to replace their old vehicles with new ones meeting certain environmental criteria. The scheme applies to cars, light commercial vehicles, as well as motorcycles and scooters. The incentives are provided in the form of a discount obtained by consumers directly from the dealers, who in turn receive this as a tax credit. A bonus of EUR 1500 is provided when a car older than 9 years meeting Euro 0, 1 or 2 standards is exchanged for a new vehicle meeting Euro 4 or 5 standards and that emits a maximum of 130gCO2/km for diesel cars or 140gCO2/km for others. The exchanged vehicle must have been registered by March 2010. This can be combined with a purchase incentive of EUR 1500 should the new vehicle run on electricity, hydrogen or methane. This purchase incentive rises to EUR 3000 if the vehicle emits 120gCO2/km, and to EUR 3500 if it emits less than that. For liquefied petroleum gas (LPG) vehicles, a purchase incentive of EUR 1500 increases to EUR 2000 if the vehicle emits less than 120gCO2/km. For lightweight commercial vehicles, a bonus of EUR 2500 is provided for scrapping a vehicle meeting Euro 0, 1 or 2 standards and registered before 31 December 1999, and purchasing a new one. In addition, EUR 4000 is provided for the purchase of a new innovative vehicle, running on gas, LPG, hydrogen. The latter incentive can be combined with the scrapping bonus. For motorcycles, scooters and other two-wheel vehicles, a EUR 500 bonus is provided when purchasing a new 400cc Euro 3 vehicle when combined with the scrapping of a Euro 0 or 1 category vehicle. Under the scheme, incentives are also provided for converting existing cars to run on LPG (EUR 500) and methane (EUR 600).",,,Kathy Hochul,,,Consumers,,,
295,Grant support for CCUS projects in Alberta and Saskatchewan,Canada,2009,In force,National,Carbon Capture Utilisation and Storage,"Payments, finance and taxation, Funds to sub-national governments, Payments and transfers, Grants","Power, Heat and Utilities, Power generation, Ammonia, Hydrogen production, Electricity and heat generation",,"The Government of Canada, as well as provincial governments in Alberta and Saskatchewan have provided grant funding for major operating CCUS projects.

The Boundary Dam Carbon Capture Project, a major coal generating unit retrofitted with CCUS technology in 2014, received CAD 214 million (USD 165 million) from the federal government as well as funding from the Government of Saskatchewan.

The Shell Quest Carbon Capture and Storage Project, which equipped the hydrogen production unit at a major refinery with CCUS, received CAD 745 (USD 572 million) from the Government of Alberta and CAD 120 million from the Government of Canada (USD 92 million).

The Alberta Carbon Trunk Line, which began operating in 2020 with CO2 capture from a fertiliser plant and refinery, received CAD 223 (USD 164 million) from the Government of Alberta and CAD 63 million from the Government of Canada (USD 46 million).",$50 million,50000000.0,Government of Canada,"Carbon capture, utilization and storage (CCUS) projects","CCUS technologies
","Key sectors, industries, and companies in Alberta and Saskatchewan",,,
296,Import tax reduction for renewable energy products,Korea,2009,In force,National,Renewable Energy,"Payments, finance and taxation, Taxes, fees and charges, Tax credits and exemptions",,,"As of Septembre 2009, the South Korean Ministry of Strategy and Finance implemented a 50% import duty reduction on 31 products used in the generation of renewable energy, namely solar, wind, geothermal and hydrogen fuel cells.",,,South Korean Ministry of Strategy and Finance,,,,,Since September 2009,
297,Import tax reduction for renewable energy products,Korea,2009,In force,National,Renewable Energy,"Payments, finance and taxation, Taxes, fees and charges, Tax credits and exemptions",,,"As of Septembre 2009, the South Korean Ministry of Strategy and Finance implemented a 50% import duty reduction on 31 products used in the generation of renewable energy, namely solar, wind, geothermal and hydrogen fuel cells.",,,South Korean Ministry of Strategy and Finance,,,,,,
298,Import tax reduction for renewable energy products,Korea,2009,Ended,National,Renewable Energy,"Payments, finance and taxation, Taxes, fees and charges, Tax credits and exemptions",,,"As of Septembre 2009, the South Korean Ministry of Strategy and Finance implemented a 50% import duty reduction on 31 products used in the generation of renewable energy, namely solar, wind, geothermal and hydrogen fuel cells.",,,South Korean Ministry of Strategy and Finance,,,,,Since September 2009,
299,Import tax reduction for renewable energy products,Korea,2009,Ended,National,Renewable Energy,"Payments, finance and taxation, Taxes, fees and charges, Tax credits and exemptions",,,"As of Septembre 2009, the South Korean Ministry of Strategy and Finance implemented a 50% import duty reduction on 31 products used in the generation of renewable energy, namely solar, wind, geothermal and hydrogen fuel cells.",,,South Korean Ministry of Strategy and Finance,,,,,,
300,Innovative Renewable Energy Research Program,Kuwait,2009,In force,National,"Technology R&D and innovation, Renewable Energy",,Economy-wide (Multi-sector),,"The program aims to enable diversification of energy resources, ensuring a sustainable supply of energy and water in the future by providing innovative renewable energy and/or clean combustion solutions. The program includes studies to identify the optimum RE technologies to be installed, technologies to be tested and modified to fit loacal conditions, and conducting R & D producing novel systems to address particular future needs of Kuwait. The particular focus technologies are: solar photovoltaic; Concentrating Solar Power (solar thermal power generation); solar cooling; wind power; fuel cells, including hydrogen storage technologies and clean combustion technologies. The steps taken in this program are expected to enable commercialization of developed prototype systems.",,,Kuwait Institute for Scientific Research (KISR),,,,,,
302,Statute for Renewable Energy Develoment Bill,Chinese Taipei,2009,In force,National,"Technology R&D and innovation, Renewable Energy","Strategic plans, Payments, finance and taxation, Performance-based payments, Payments and transfers, Feed-in tariffs/premiums, Targets, plans and framework legislation","Power, Heat and Utilities, Power generation, Electricity and heat generation","Wind, Solar PV, Solar thermal heaters, Geothermal electricity, Hydropower (excl. pumped hydro), Marine energy, Tidal energy, Ocean (incl. wave, thermal and salinity gradient), Geothermal, Solar","The Taiwanese government has enacted the Statute for Renewable Energy (RE) Development to reduce CO2 emissions, improve energy diversification and promote green-energy industries.Target:The government seeks to generate 8% of electricity from renewable sources by 2025 and a install between 6,500 and 10,000 MW of RE capacity by 2030.Targeted categories are solar, geothermal and ocean energies, wind power, biofuel, non-pump and storage hydropower and renewable hydrogen power.The support framework included in the Statutes is a combination of a pricing mechanism, subsidies and deployment facilitation measures. The status provides for a feed-in tariff, to be established in further regulation, meant to ensure positive returns on investment to project developers. Fixed purchase price will be calculated by an independent committee and adjusted annually.The Statute for Renewable Energy Develoment Bill also includes the obligation for the public grid utlity to guarantee grid connection and access to generators of renewable energy. RE generating facilities that reach a certain capacity will also have the opportunity to apply for industry usage procedures and dispositions. Moreover, existing procedures for the acquisition of required generation licenses (e.g. land-use) will be streamlined.The regulation establishes the Renewable Energy RE Development Foundation funded by the Taiwan Power Company to support RE research and promotion activities.",,,,"solar, geothermal and ocean energies, wind power, biofuel, non-pump and storage hydropower and renewable hydrogen power",-2030,RE generating facilities,2025,,
303,Cool Earth Energy Innovative Technology Plan,Japan,2008,In force,National,"Technology R&D and innovation, Renewable Energy",,"Power, Heat and Utilities, Economy-wide (Multi-sector)",,"The development of innovative technology is essential in achieving the long-term target of halving global greenhouse gas emissions by 2050 from the current levels under Cool Earth 50, proposed in May 2007.  Based on awareness of this issue, an investigative commission comprising key intellectual figures, organized under Akira Amari, Minister of Economy, Trade and Industry, announced the Cool Earth Innovative Energy Technology Program.  The commission selected 21 innovative technologies whose development and deployment should be prioritised to achieve the target.In the program, roadmaps with an outlook extending to around 2050 were prepared along with examinations on the effectiveness of the technologies and measures toward dissemination. In addition, the Program aims to strengthen international co-operation to accelerate innovative technology R&D, through existing international frameworks such as the Carbon Sequestration Leadership Forum (CSLF) and APP on clean coal; GNEP and GIF on nuclear; IPHE on fuel cells and IEA implementing agreements generally as well as through exploring new areas for cooperation.Technologies included are:-Biofuels for transport-Photovoltaic power generation-Hydrogen production, transport and storage-High-performance power storage systemsThe full report and technology roadmap are available, in English, at:www.meti.go.jp/english/newtopics/data/pdf/CE_RoadMap.pdfwww.meti.go.jp/english/newtopics/data/pdf/031320CoolEarth.pdf",,,"Akira Amari, Minister of Economy, Trade and Industry",21 innovative technologies prioritized for development and deployment,,,,,
304,Danish Energy Agreement for 2008-2011,Denmark,2008,Ended,National,"Energy Efficiency, Technology R&D and innovation, Renewable Energy","Strategic plans, Payments, finance and taxation, Targets, plans and framework legislation","Transport, Power, Heat and Utilities, Economy-wide (Multi-sector)","Wind onshore, Wind, Electricity generation and CHP technologies","The Danish goverment (the Conservatives and Liberals) 21 February 2008 entered into a comprehensive energy agreement with the Social Democrats, Danish Peoples Party, Socialist Peoples Party, Social Liberals and New Alliance on energy policy.The framework agreement aims to lower Denmarks dependence on fossil fuels (coal, oil and gas) through achieving energy savings and renewable energy targets.  These are to be reached via linear phasing, with concrete measures set for meeting the targets.  By 2011, 20% of gross energy consumption must come from renewable energy sources.The agreement includes better terms for wind turbines and other sustainable energy sources such as biomass and bio gas.Aside from significantly raising the transfer rate for electricity from land wind turbines, biomass and bio gas, the parties agree to install 400 MW from new offshore wind turbines by 2012. Plans to invest in two new 75 MW land-based facilities in 2010 and 2011 have also been announced.The deal also provides  incentives and a compensation scheme for local residents to allow land-based wind farms  to be located in their area, including a new stakeholder model.In addition, 25 million DKK per year for the next five years has been earmarked for wave and solar power  research.The effort to save energy is being considerably ramped up:  The new agreement commits Denmark to cut its energy consumption by 2% by 2012, compared with 2006 levels.  This is half a percentage point more than Denmarks current target, meaning that in 2020, energy use must have fallen by 4% compared to 2006.Hydrogen vehicles are to be tax-free  and the same applies to electric vehicles provisionally until 2012, and a pool of 35 million DKK is being set aside for electric vehicle research. The government and Danish Peoples Party would like a significant increase in research, development and demonstration efforts in energy technology to the amount of 750 million DKK in 2009 and 1 billion DKK from 2010, and this will be taken up in connection with the implementation of globalisation funding.In the case of significant deviations for the linear phasing of renewable energy and energy savings targets, the parties (Danish government and parliament) shall discuss supplementary initiatives for attaining the targets.The parties behind the agreement will receive a status report on development toward the goals and implement analyses up until 2011. By the end of 2010 it will be determined whether there is a need for implementing further initiatives.",,,Danish government,,,,,2008-2011,
305,National Innovation Programme for Hydrogen and Fuel Cell Technology,Germany,2008,In force,National,Energy Efficiency,"Payments, finance and taxation, Payments and transfers","Economy-wide (Multi-sector), Fuel processing and transformation, Hydrogen production and supply",,"With the  National Innovation Programme for Hydrogen and Fuel Cell Technology € (NIP) the federal government is funding the development and implementation of hydrogen and fuel cell technology with the objective, over the total programme duration, of bringing about market readiness of the respective technologies, creating value chains and value-added shares, contributing to considerable growth in experience, and making a contribution to the federal government energy- and climate-policy targets. To achieve this industrial research and experimental development is to be funded in the above areas of application. The programme includes both transport sector-related and stationary applications. The total programme volume is  €1.4bn. A sum of  €500m is being provided by the BMVBS,  €200m by the BMWi, and the other half is being co-financed by industry.",€1.4bn,1762320000.0,the federal government,,,,,,
306,National Low Emissions Coal Initiative,Australia,2008,Ended,National,"Carbon Capture Utilisation and Storage, Technology R&D and innovation, Renewable Energy","Strategic plans, Payments, finance and taxation, Payments and transfers, Targets, plans and framework legislation, Long-term low emissions development strategy (LT-LEDS), Grants","Power, Heat and Utilities, Fuel processing and transformation","CO2 Capture, CO2 transportation, CO2 storage, Combined heat and power (CHP), CO2 capture and transport technologies, Coal, Electricity generation and CHP technologies, Geological processes and technologies",Australia’s National Low Emission Coal Initiative (NLECI) aims to support the development and deployment of low emissions technologies and CO2 transport and storage infrastructure. Ongoing projects include the Australian National Low Emission Coal Research and Development initiative and bilateral cooperation on Clean Coal Technology via the Australia–China Joint Coordination Group. Completed projects under the NLECI include: Hydrogen Energy Supply Chain (HESC) Front End Engineering Design (FEED) Project: The Australian and Victorian Governments jointly funded elements of a FEED project for a HESC Pilot Project to convert Victorian brown coal to hydrogen for export to Japan for use as a liquid fuel. The project is one of a number of options that Kawasaki Heavy Industries Ltd is examining worldwide to meet the Japanese government’s energy diversification plans. Mineral Carbonation Project: The mineral carbonation process uses the natural process of capturing carbon dioxide in mineral deposits and then storing it in rocks. National Carbon Mapping and Infrastructure Plan: The National CO2 Infrastructure Plan was developed to speed up the identification and development of suitable long-term carbon dioxide storage sites within reasonable distances of major energy and industrial emission sources. Post Combustion Capture (PCC) of Carbon Dioxide Technology project: The project aimed to progress PCC technology under the flue gas conditions that are common in Chinese coal fired power stations. The project looked at PCC process designs which provide lower energy requirements for the capture process. Carbon Dioxide Infrastructure Assessment Project (CIAP): Provided the ability to identify potential onshore and offshore pipeline routes in and around Australia for transporting carbon dioxide to geosequestration storage sites. Callide oxyfuel combustion project: The Callide oxyfuel combustion project demonstrated how oxyfuel and carbon capture technology can be used in existing power stations to generate electricity from coal with low emissions.,,,,"Hydrogen Energy Supply Chain (HESC) Front End Engineering Design (FEED) Project, Mineral Carbonation Project, National Carbon Mapping and Infrastructure Plan, Post Combustion Capture (PCC) of Carbon Dioxide Technology project, Carbon Dioxide Infrastructure Assessment Project (CIAP), Callide oxyfuel combustion project",,,,,
307,Environmental Transformation Fund (ETF),United Kingdom,2007,Ended,National,"Energy Efficiency, Renewable Energy","Payments, finance and taxation, Payments and transfers, Grants","Power, Heat and Utilities, Power generation, Combined heat and power, Economy-wide (Multi-sector), Heating and Cooling, Electricity and heat generation",Combined heat and power (CHP),"

Energy EfficiencyRemove Filter





Renewable EnergyRemove Filter





Payments, finance and taxationRemove Filter





Payments and transfersRemove Filter





GrantsRemove Filter





Power, Heat and UtilitiesRemove Filter





Power generationRemove Filter





Combined heat and powerRemove Filter





Economy-wide (Multi-sector)Remove Filter





Heating and CoolingRemove Filter





Electricity and heat generationRemove Filter





Combined heat and power (CHP)Remove Filter

",£315 million,339349500.0,"Department for Energy Security and Net Zero and Department for Business, Energy & Industrial Strategy",,,businesses with high energy use,,up until 2027,
308,Integrated Climate Change and Energy Programme,Germany,2007,In force,National,Renewable Energy,,"Power, Heat and Utilities, Power generation, Combined heat and power, Economy-wide (Multi-sector), Heating and Cooling, Electricity and heat generation",Combined heat and power (CHP),"In early 2007, the European Council of heads of state and government, meeting under the German presidency, set the parameters for an integrated European climate and energy policy. This will include climate protection targets and targets for the expansion of renewable energies and increases in energy efficiency. In August 2007, the Cabinet of the German government decided to implement the integrated European climate and energy policy (agreed to in early 2007) by way of an Integrated Climate Change and Energy Programme. This programme has as its guiding principles security of supply, economic efficiency and environmental protection. Through 29 measures, the programme addresses a wide range of matters. In the renewables sector, these include: - combined heat and power generation, - the expansion of renewable energies in the power sector, - provisions on the feed-in of biogas to natural gas grids, - the Renewable Energies Heat Act, and - the expansion of the biofuels market. In December 2007 Germanys lower parliament approved the programme and passed a first package of fourteen draft laws addressing most of the priorities of the national climate and energy programme. The first package included: 1) Amendment to the Combined Heat and Power Act; 2) Amendment to the Energy Industry Act (EnWG) on liberalised metering; 3) Report and draft amendment to the Energy Saving Ordice (EnEV); 4) Amendment to the 37th Ordice on the Implementation of the Federal Emission Control Act (BlmSchV)--clean power plants; 5) Guidelines on the procurement of energy-efficient products and services; 6) Amendment to the Renewable Energy Sources Act (EEG); 7) Renewable Energies Heat Act (EEWärmeG); 8) Amendment to the Gas Grid Access Ordice; 9) Amendment to the Biofuel Quota Act; 10) Sustainability Ordice; 11) Fuel Quality Ordice; 12) Hydrogenation Ordice; 13) Reform of Vehicle Tax to a pollutant and CO2 basis; and 14) Chemicals Climate Protection Ordice. A second package of measures, continuing the legal transposition of the programme, was passed in June 2008 (see separate entry). The climate programme measures are to be legally transposed during the course of 2008.",,,German government,,,,2020,2008,40% cut in GHG emissions by 2020 against a 1990 baseline
309,National Strategy for Research and Development in the field of Energy,France,2007,In force,National,"Energy Efficiency, Technology R&D and innovation, Renewable Energy","Strategic plans, Targets, plans and framework legislation","Transport, Economy-wide (Multi-sector)",Combined heat and power (CHP),"The French National Strategy for Research and Development in the field of Energy is issued by the ministry in charge of energy (Ministry of Ecology, Energy, Sustainable Development, National Planning and Development) and the ministry in charge of research (Ministry for Higher Education and Research) according to Article 10 of the Programme Law on the orientations of the energy policy of 13 July 2005. The Strategy aims to increase energy security, to reduce greenhouse gas emissions and mitigate climate change. It thus seeks to promote RD&D in technologies and energy sources that limit GHG emissions and/or increase energy efficiency. In the field of energy efficiency, the Strategy emphasises RD&D in the following areas: -Energy storage and transmission, particularly in light of developing self-sufficient independent renewable energy sources that will require both storage and systems to connect the energy to a grid. -Technologies and training to cost-effectively improve energy efficiency in buildings, particularly existing buildings. -Transport, particularly personal vehicles. Both new technology (electric cars, fuel cells) and increased efficiency of existing technology is to be highlighted. -Fuel cells and hydrogen production.",,,"Ministry of Ecology, Energy, Sustainable Development, National Planning and Development and Ministry for Higher Education and Research",,,,2050,,Net zero emissions by 2050
310,National renewable energy registry,Bolivarian Republic of Venezuela,2007,In force,National,Renewable Energy,"Information and education, Public information","Power, Heat and Utilities, Power generation, Electricity and heat generation",,"A national registry has been created to provide information and control regarding all activities related to renewable energy, including equipment, and projects in research and development stage. The types of renewables included in this registry are: Solar, Wind, Hydro, Biomass, Geothermal, Tidal, and Hydrogen fuel.",,,,,,,,,
311,Seventh Framework Programme for Research and Technological Development (FP7),European Union,2007,Ended,International,"Carbon Capture Utilisation and Storage, Technology R&D and innovation, Renewable Energy","Payments, finance and taxation, Payments and transfers, Grants","Power, Heat and Utilities, Economy-wide (Multi-sector), Fuel processing and transformation",Combined heat and power (CHP),"The Seventh Framework Research Programme (FP7) bundles research-related EU initiatives together. The programme will last for seven years from 2007until 2013. The programme has a total budget of over EUR 50 billion. This represents a substantial increase compared with the previous Framework Programme FP6 (41% at 2004 prices, 63% at current prices). The Framework Programmes for Research have two main strategic objectives: - to strengthen the scientific and technological base of European industry; - to encourage its international competitiveness, while promoting research that supports EU policies.  FP7 provides grants on a competitive basis to co-fund various and wide-ranging research projects. The maximum reimbursement rates to the costs of a project depend on the funding scheme, the legal status of the participants and the type of activity. The standard reimbursement rate for research and technological development activities is 50%. Certain legal entities can receive up to 75% (non-profit public bodies, SMEs, research organisations, higher education establishments). For demonstration activities, the reimbursement rate may reach 50%. For other activities (consortium management, networking, training, coordination, dissemination etc.), the reimbursement can be up to 100% of the eligible costs.  Energy research under FP7 has been allocated a budget of EUR 2.35 bn and focuses on the following areas: - Hydrogen and fuel cells - Renewable electricity generation- Renewable fuel production - Renewables for heating and cooling - CO2 capture and storage technologies for zero emission power generation - Clean Coal Technologies - Smart energy networks - Energy efficiency and savings - Knowledge for energy policy making  Renewable electricity generation has been divided into 7 thematic areas: - Photovoltaics: New processes for equipment manufacturing, standardied and tested building components. - Biomass: Use of biomass in direct co-firing, advanced biomass gasification systems, medium to large scale bio-electricity systems. - Wind: Large scale on and off-shore wind power plants, dependable output forecasting tools, standards and certification schemes. - Geothermal: Enabling technologies for the exploitation of high-temperature resources, improving geothermal reservoir detection technology, increasing the performance of fluid production systems (corrosion and scaling), increasing the efficiency of electricity generating systems. - Concentrated solar power: Improvements in the optical and thermal efficiency of the solar components, power generation efficiency (including hybridisation with other fuel), and operational reliability. - Ocean: Technological improvements in new components and system designs. - Hydro: Improve the energy and cost-efficiency of hydropower plants, in particular smaller systems, while minimising the adverse environmental impact.  Renewable fuel production has also been divided into 7 focal areas, including: - First and Second generation biofuel from biomass - Biorefinery (advanced fractionation and conversion technologies, biorefinery concepts and stand-alone biorefinery concepts) - Biofuel use in transport- Alternative routes to renewable fuel production (e.g. using renewable electricity to produce carbon-neutral hydrogen and solar radiation to fuel generation through thermo-chemical and non-thermal processes) - Biofuels from energy crops - Cross-cutting issues (assessing and optimising the availability of bi",,,European Research Council (ERC),,,Key beneficiaries not specified,,,
312,Sustainable Energy Incubator Programme,Ireland,2007,In force,National,"Energy Efficiency, Technology R&D and innovation, Renewable Energy","Payments, finance and taxation, Payments and transfers, Business accelerators / Incubators","Power, Heat and Utilities, Economy-wide (Multi-sector)","Appliances, Fuel cells, Wind, Marine energy, Ocean (incl. wave, thermal and salinity gradient), Combined heat and power (CHP), Biomass and renewable waste, Biogas, Electricity generation and CHP technologies","The Sustainable Energy Incubator Programme, run by Sustainable Energy Irealand (SEI), aims to provide early stage support for companies developing new clean energy technologies, so as to foster business development and bridge financial gaps faced by new sustainable energy ventures. SEI is considering funding up to ten high potential new and existing ventures through their incubation process over 2008. The programme is open to business ventures based in 21 existing Irish Incubation Units. Priority areas identified for 2008 are: Bioenergy; Ocean energy; Wind energy; Microgeneration; Energy efficiency and demand reduction; Fuel cells and hydrogen. The programme provides grants primarily for payment of annual incubation fees, with the possibility of grant provision for supplementary business support (management development and business networking). The programme provides up to two years grant support for annual incubation fees amounting to 100% in year one (up to a maximum of EUR 10,000) and declining to 50% in year two (up to a maximum of EUR 5,000). For business support, funding support is available up to a maximum qualifying expenditure that amounts to 70% of eligible cost. For management development this goes up to a maximum of EUR 8,000 in year 1 and EUR 4,000 in year 2. For business networking activities, this can be a maximum of EUR 2,000 in year 1 and EUR 1,000 in year 2. Total grant funding for both incubation and business support cannot exceed EUR 22000 per year.",,,,"Bioenergy, Ocean energy, Wind energy, Microgeneration, Energy efficiency and demand reduction, Fuel cells and hydrogen","Fuel cells and hydrogen: EUR 10,000 (year 1), EUR 5,000 (year 2)
",Clean energy start-ups and sustainable energy ventures,,Open to business ventures in 2008,
313,ecoENERGY Technology Initiative,Canada,2007,Ended,National,"Technology R&D and innovation, Renewable Energy","Payments, finance and taxation",Economy-wide (Multi-sector),"Drive train or engine, Building envelope technologies, Space, water and process heating technologies, Industry sector-specific processes and technologies, Transport technologies, Wind, Solar PV, Solar thermal heaters, Marine energy, Tidal energy, Fuel cell, Electricity generation and CHP technologies, Heating, cooling and climate control technologies","The ecoENERGY Technology initiative is a five-year programme which funds research, development and demonstration to support the development of the next-generation clean-energy technologies.Key areas include knowledge and technologies for carbon capture and storage; new end-use technologies such as hydrogen and fuel cells, and for energy efficient buildings and industry; technologies for producing and using renewable energy from clean sources such as wind, solar, tidal, and biomass.The initiative will help provide the new knowledge that will be essential to support the regulatory approach to the governments Clean Air Regulatory Agenda.",,,Government of Canada,ecoENERGY Retrofit - Homes,"Energy performance improvements in dwellings: Reduction of average energy consumption by 20%
",Homeowners of low-rise residential properties,,5 years,0.75 megatonnes of greenhouse gas emissions reduction in 2011-2012
314,Alternative Fuel Infrastructure Tax Credit,United States,2006,Ended,National,Renewable Energy,"Payments, finance and taxation, Taxes, fees and charges","Industry, Transport","Industry sector-specific processes and technologies, Transport technologies","The Alternative Fuel Infrastructure Tax Credit was established by the Energy Policy Act of 2005 and is available for the cost of installing alternative fueling equipment placed into service after 31 December 2005. Qualified alternative fuels are natural gas, liquefied petroleum gas, hydrogen, electricity, E85 or diesel fuel blends containing a minimum of 20% biodiesel. The credit amount is up to 30% of the cost, not to exceed USD 30,000, for equipment placed into service before 1 January 2009. The credit amount is up to 50% not to exceed USD 50,000, for equipment placed into service in 2009. Consumers who purchase residential fueling equipment may receive a tax credit of up to USD 1,000, which increases to USD 2,000 for equipment placed into service after 2008. The maximum credit amount for hydrogen fueling equipment placed into service after 2008 and before 2015, is USD 200,000. The credit expires in 2010 for all other eligible fuel types.",,,U.S. Internal Revenue Service,,,,,,
